VNUM	GOLD_MIN	GOLD_MAX	EXP	RESURRECTION_VNUM	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
152	3500	5250	884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	2100	4900	530.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	5250	7000	972.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	5250	7700	1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	630	945	48.62	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	805	1190	119.34	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	875	1330	159.12	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	1050	1575	234.26	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	1295	1960	344.76	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	1645	2450	490.62	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	2800	4200	724.88	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	1120	1715	269.62	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	1960	2940	455.26	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	1540	2345	455.26	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	2660	3990	680.68	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	2135	3220	1193.4	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	3500	5250	1577.94	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	2065	3080	1131.52	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	3920	5880	1798.94	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	1118120	5121800	10696.4	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
192	518120	5121800	11050	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
193	1118120	5121800	11757.2	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
194	1118120	5121800	12464.4	0	70107	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0
301	2240	3395	1613.3	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	4480	6720	1790.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	4445	6650	3748.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	4445	6650	3748.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331	10500	15750	2466.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	11340	17010	2678.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333	13440	20160	6417.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	13440	20160	6417.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
351	2240	3395	1131.52	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	4480	6720	1255.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	4445	6650	2625.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	4445	6650	2625.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391	6965	10430	11509.68	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
392	7805	11690	12994.8	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
393	8365	12530	13984.88	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
394	9170	13755	15470	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
395	6965	10430	8057.66	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
396	7805	11690	9096.36	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
397	8365	12530	9790.3	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
398	9170	13755	10829	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
401	2730	4095	3248.7	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	2800	4235	3372.46	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
403	5985	8960	3619.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	4760	7140	4490.72	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	5180	7770	4937.14	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	5460	8190	5233.28	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
431	18480	27720	3315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
432	19600	29400	3527.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
433	20720	31080	3739.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
434	21280	31920	7690.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
435	22400	33600	8115.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
436	23520	35280	8539.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
451	2730	4095	2276.3	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
452	2800	4235	2360.28	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
453	5985	8960	2532.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	4760	7140	3142.62	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
455	5180	7770	3456.44	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
456	5460	8190	3664.18	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
491	8610	12915	15965.04	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
492	9870	14805	18440.24	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
493	10360	15575	19430.32	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
494	11900	17850	22400.56	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
501	3570	5355	3619.98	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
502	3885	5810	3991.26	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
503	10920	16380	5233.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
504	9100	13685	8972.6	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
531	20720	31080	2267.46	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
532	21840	32760	2395.64	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
533	23520	35280	5180.24	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
534	24640	36960	5436.6	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
551	3570	5355	3619.98	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
552	3885	5810	3991.26	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553	10920	16380	5233.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554	9100	13685	8972.6	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
591	18200	27300	89637.6	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
595	18200	27300	28385.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
601	25200	37800	4587.96	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
602	25760	38640	4694.04	0	70105	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
603	26320	39480	4800.12	0	70105	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
604	26880	40320	4906.2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
631	3395	5110	4238.78	0	70104	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
632	5600	8400	5383.56	0	70105	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
633	6020	9030	5829.98	0	70105	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
634	8400	12600	9962.68	0	70106	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
635	9170	13755	10952.76	0	70106	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
636	12145	18200	22895.6	0	70107	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
637	12880	19355	24380.72	0	70107	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
651	3395	5110	2965.82	0	70104	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
652	5600	8400	3770.26	0	70105	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
653	6020	9030	4079.66	0	70105	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
654	8400	12600	6974.76	0	70106	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
655	9170	13755	7668.7	0	70106	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
656	12145	18200	16026.92	0	70107	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
657	12880	19355	17065.62	0	70107	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
691	2156000	3234000	90265.24	0	70105	30	256	0	0	0	0	0	0	0	0	35	0	0	0	0
692	21560	32340	33406.36	0	0	30	256	0	0	0	0	0	0	0	0	35	0	0	0	0
693	819000	1228500	1575288	0	0	35	256	0	0	0	0	0	0	0	0	20	20	0	30	40
701	3815	5740	4362.54	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
702	6440	9695	4870.84	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
703	6895	10360	5250.96	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
704	10080	15120	7823.4	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
705	7980	12005	5118.36	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
706	12215	18340	17414.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
707	12740	19110	18122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
731	5390	8085	4618.9	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
732	8750	13125	5648.76	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
733	8925	13370	5754.84	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
734	12215	18340	9591.4	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
735	9065	13580	5860.92	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
736	13895	20860	19890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
737	14140	21245	20243.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
751	3815	5740	3054.22	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
752	6440	9695	3407.82	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
753	6895	10360	3677.44	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
754	10080	15120	5476.38	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
755	7980	12005	3584.62	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
756	12215	18340	12190.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
757	12740	19110	12685.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
771	5390	8085	3235.44	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
772	8750	13125	3955.9	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
773	8925	13370	4026.62	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
774	12215	18340	6713.98	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
775	9065	13580	4101.76	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
776	13895	20860	13923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
777	14140	21245	14170.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
791	23240	34860	76731.2	792	0	20	257	20	258	0	0	0	0	0	0	0	0	0	0	0
792	26600	39900	660348	0	70105	35	257	35	258	0	0	0	0	0	0	0	0	0	0	0
793	23240	34860	38365.6	0	0	35	257	35	258	0	0	0	0	0	0	0	0	0	0	0
794	26600	39900	330174	0	0	40	257	40	258	0	0	0	0	0	0	0	0	0	0	0
795	819000	1228500	1575288	0	0	35	257	35	258	0	0	0	0	0	0	20	20	0	30	40
796	819000	1228500	1575288	0	0	40	257	40	258	0	0	0	0	0	0	20	20	0	30	40
901	7420	11130	4181.32	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902	7700	11550	4349.28	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
903	7980	11970	4517.24	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
904	11340	17010	7814.56	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
905	11900	17885	8238.88	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
906	23835	35770	10298.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907	13860	20790	16760.64	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
931	7420	11130	2926.04	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
932	7700	11550	3045.38	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
933	7980	11970	3164.72	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
934	11340	17010	5471.96	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
935	11900	17885	5768.1	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
936	23835	35770	7209.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
937	13860	20790	11730.68	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
991	25340	38010	83803.2	992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
992	25760	38640	85217.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
993	26180	39270	649740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1001	8540	12810	4247.62	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1002	17360	26040	4786.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1003	8820	13230	5224.44	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004	12320	18480	7248.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	13685	20510	9511.84	1061	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1032	14070	21105	12243.4	1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1033	14280	21420	9936.16	1063	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1034	14455	21700	10077.6	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1035	14665	21980	10219.04	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1036	14840	22295	10360.48	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1037	18445	27650	20155.2	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1038	18690	28035	20438.08	1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1039	18935	28420	20720.96	1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1040	19180	28805	21003.84	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1041	19460	29190	21286.72	1071	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
1061	13685	20510	9511.84	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1062	14070	21105	12243.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1063	14280	21420	9936.16	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1064	14455	21700	10077.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1065	14665	21980	10219.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1066	14840	22295	10360.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1067	18445	27650	20155.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1068	18690	28035	20438.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1069	18935	28420	20720.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1070	19180	28805	21003.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1071	19460	29190	21286.72	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1091	32060	48090	53216.8	0	0	25	256	0	0	0	0	0	0	0	0	0	0	0	0	0
1092	32060	48090	106433.6	0	70105	25	256	0	0	0	0	0	0	0	0	0	0	0	0	0
1093	33320	49980	830076	0	70105	10	259	40	260	0	0	0	0	0	0	0	0	0	0	0
1094	819000	819000	675288	0	70105	30	256	0	0	0	0	0	0	0	0	20	20	0	30	40
1095	819000	1228500	1575288	0	70105	10	259	40	260	0	0	0	0	0	0	20	20	0	30	40
1096	32060	48090	106433.6	0	0	25	256	0	0	0	0	0	0	0	0	0	0	0	0	0
1101	8750	13125	5812.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1102	8890	13335	5905.12	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1103	9205	13790	5997.94	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1104	12670	19005	9998.04	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1105	12880	19320	10152.74	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1106	13055	19600	10307.44	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1107	16660	24990	20614.88	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1131	18270	27405	11110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1132	18515	27860	11110	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1133	20545	30800	11110	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1134	30625	30625	31110	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1135	31115	31115	45998	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1136	21570	47320	47188	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1137	20180	60305	51022	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1151	35000	70000	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1152	35000	70000	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1153	35000	70000	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1154	35000	70000	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1155	35000	70000	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1156	35000	70000	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1157	35000	70000	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1171	8750	13125	4066.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	8890	13335	4132.7	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1173	9205	13790	4199	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1174	12670	19005	6996.86	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1175	12880	19320	7107.36	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1176	13055	19600	7213.44	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1177	16660	24990	14431.3	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1191	16800	22400	99361.6	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	30	0
1192	5000000	15000000	324	0	0	0	0	0	0	0	0	0	0	0	0	40	30	0	15	0
1301	9380	14070	4857.58	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1302	16940	25445	16760.64	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1303	9520	14315	4941.56	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1304	35245	52850	106433.6	0	70105	40	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1305	17500	26250	17326.4	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1306	1282400	1923600	106433.6	0	0	40	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1307	819000	1228500	1575288	0	0	40	258	0	0	0	0	0	0	0	0	20	20	0	30	40
1308	1282400	1923600	106433.6	0	0	40	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1309	1282400	1923600	106433.6	0	0	40	258	0	0	0	0	0	0	0	0	20	20	0	30	40
1310	1282400	1923600	106433.6	0	0	40	258	0	0	0	0	0	0	0	0	20	20	0	30	40
1331	9380	14070	3398.98	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1332	16940	25445	11730.68	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1333	9520	14315	3460.86	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1334	35245	52850	74503.52	0	0	40	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1335	17500	26250	12128.48	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1401	24500	36750	19010.42	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1402	37170	55755	35457.24	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1403	49910	74865	76483.68	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1501	25550	38325	20570.68	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1502	36680	55020	21459.1	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1503	49280	73920	37746.8	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1601	25200	37800	16552.9	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1602	35700	53550	34776.56	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1603	48650	72975	36385.44	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1901	30800	46200	102190.4	0	70105	25	258	40	259	0	0	0	0	0	0	0	0	0	0	0
1902	1232000	1848000	102190.4	0	0	35	258	40	259	0	0	0	0	0	0	0	0	0	0	0
1903	819000	1228500	1575288	0	0	35	258	40	259	0	0	0	0	0	0	20	20	0	30	40
1904	1282400	1923600	106433.6	0	0	40	258	0	0	0	0	0	0	0	0	20	20	0	30	40
1905	1282400	1923600	106433.6	0	0	40	258	0	0	0	0	0	0	0	0	20	20	0	30	40
1906	1282400	1923600	106433.6	0	0	40	258	0	0	0	0	0	0	0	0	20	20	0	30	40
2001	4270	6405	5352.62	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	4445	6650	5600.14	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	7035	10570	7164.82	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	7280	10955	7460.96	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	7560	11375	7761.52	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2031	10640	15995	9812.4	0	70106	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2032	11060	16590	13636.72	0	70106	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2033	13720	20580	23322.08	0	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2034	14210	21315	31170.72	0	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
2035	14700	22050	31019.36	0	70107	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0
